工作名稱,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
人工智能CV算法工程師 (AI CV Algorithm Engineer),羅傑斯人工智能股份有限公司,"【工作內容】/任職條件:  1. 對人工智慧算法研發有強烈熱誠與興趣。  2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。  3. 熟悉 C++和Python編程，具有算法實現能力。  4. 熟悉CV演算法，並能針對現有神經網路模型(如: 物件/人臉偵測、人臉辨識)進行加速及優化   5. 不怕困難，有毅力獨立思考及解決問題能力。具以下實作經驗者佳,1.	人臉偵測 / 人臉辨識2.	CNN模型壓縮3.	生成對抗網路 (GAN)4.	姿態追蹤運動系統5.	物件體積量測系統6.	熟悉分散式運算、平行運算提供可參考電腦視覺相關開發專案, 如github 尤佳","演算法開發工程師,軟體設計工程師,韌體設計工程師",待遇面議,全職,台北市大同區,管理4人以下,無需出差外派,日班,週休二日,可年後上班,1人【相關條件】/,上班族,5年以上,大學、碩士- 公司產業：電腦軟體服務業,"資訊工程相關,電機電子工程相關",不拘,不拘,不拘【其他條件】/,"曾在下列會議或期刊發表作品優先錄取CVPR: International Conference on Computer Vision and Pattern RecognitionICCV: International Conference on Computer VisionAAAAI: AAAI Conference on Artificial IntelligenceICML: International Conference on Machine LearningNIPS: Annual Conference on Neural Information Processing SystemsJCAI: International Joint Conference on Artificial IntelligenceTPAMI: IEEE Trans on Pattern Analysis and Machine IntelligenceIJCV: International Journal of Computer VisionTIP: IEEE Transactions on Image Processing【公司福利】/- 福利制度：1、 驚喜人生大事祝福禮公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 2、鼓勵生育  0~6歲公司幫忙養入職後懷孕生子, 公司補助保母費用, 減輕員工負擔3、競爭力薪酬獎金制度 提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 4、員工保險 除勞健保外，提供額外員工醫療團體保險。 5、特休假制度 優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 6、多元福利活動與津貼 不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 7、優質工作環境 總部位於台北市中心、交通暢行無阻。 8、 國際化職場環境 能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。更多工作資訊請參考：https://www.104.com.tw/job/6my9d"
AI工程師,長泓膠業股份有限公司,【工作內容】/1、以機器學習、深度學習與資料分析規劃與統籌專案，藉由科技的力量強化公司的系統並提供數據做為決策分析依據。2、研究與開發人工智慧之演算法結構、並提供應用和服務 3、跨部門溝通、協調、整合專案進行，推動公司AI與新創科技導入應用。4、具備統計分析、資料建模能力。5、主管交辦事項。,"演算法開發工程師,系統分析師,統計精算人員","月薪35,000~45,000元",全職,彰化縣鹿港鎮,不需負擔管理責任,需出差，一年累積時間未定,日班，08:00-17:00,依公司規定,一個月內,1人【相關條件】/,"上班族,應屆畢業生",不拘,碩士- 公司產業：橡膠製品製造業,"統計學相關,數理統計相關,資訊工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"C++,Java,Python,JavaScript,Excel,Outlook,PowerPoint,Word","不拘【其他條件】/【公司福利】/- 福利制度：長泓膠業 福利制度【薪酬制度】1.	合理的薪資結構：依職務標準核定「本薪」；另有「學歷津貼」、「交通津貼」、「專業津貼」、「主管津貼」等各項給付。2.	績效獎金：視當月公司營運績效及個人績效而定。3.	年終獎金：視當年公司營運績效及個人績效而定。4.	業務人員配置公務機、油資全額補貼。【福利制度】完善的保險規劃1.	符合勞基法規定2.	勞保、健保、勞退3.	團保【豐富的福利措施】1.	結婚互助、新居落成、生育互助、住院互助、喪葬互助津貼。2.	員工國內外旅遊、旅遊代金。3.	員工子女獎助學金4.	三節獎金、生日禮卷、生日蛋糕5.	特約商店6.	員工餐廳7.	員工制服8.	精緻員工健康檢查9.	歲末年終尾牙活動10.  員工介紹獎金【完整的訓練規劃】1.依據職能完備率進行專業職能、管理職能訓練。2.部門學習3.線上學習E-learning4.外部訓練補助5.員工在職進修補助年終獎金,員工餐廳,子女教育獎助學金,旅遊補助,住院慰問金,國內旅遊,特約商店,內部講師鐘點費,員工團體保險更多工作資訊請參考：https://www.104.com.tw/job/7c5ea",無
AI應用工程師,財團法人自行車暨健康科技工業研究發展中心,【工作內容】/工作項目說明：1.AI專案執行及程式撰寫(python、SQL、資料庫、數據分析…)2.科技專案研究規劃與執行3.廠商合作案規劃與執行,"軟體設計工程師,Internet程式設計師","月薪35,000元以上",全職,台中市西屯區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人【相關條件】/,"上班族,應屆畢業生,原住民,二度就業",不拘,大學- 公司產業：自行車及其零件製造業,"資訊工程相關,資訊管理相關",不拘,"Python,MS SQL,MySQL",不拘【其他條件】/,"1.學歷:資訊工程相關,資訊管理相關科系大學畢業2.熟python, SQL,資料庫、數據分析。3.具大數據分析、AI 相關技術 應用經驗佳。【公司福利】/- 福利制度：依勞基法每日工作八小時,享勞健團保,週休二日,彈性上下班,人性化管理,完善教育訓練職工福利◎生育、結婚、生日禮金。◎中秋節、端午節金。◎傷病住院、喪葬慰問金。◎社團活動。◎員工旅遊。更多工作資訊請參考：https://www.104.com.tw/job/7fjpn"
AI演算法工程師,力晶積成電子製造股份有限公司(力積電),【工作內容】/【工作內容】 1. 需求分析及規劃、資料萃取、資料清理、特徵工程 2. 數據分析、資訊視覺化、說明分析結果、提出建議 3. AI演算法的設計和應用,"演算法開發工程師,MIS程式設計師,系統分析師",待遇面議,全職,新竹市,不需負擔管理責任,無需出差外派,日班，8:00~17:00,依公司規定,不限,2人【相關條件】/,"上班族,應屆畢業生",不拘,大學、碩士- 公司產業：其他半導體相關業,"資訊工程相關,資訊管理相關,電機電子維護相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"C#,C++,Python,MS SQL,MySQL,Oracle,PL/SQL,PostgreSQL,JavaScript,jQuery",不拘【其他條件】/,"- 大學學歷以上，資訊相關領域尤佳- 積極、配合度高、具有分析解決問題以及溝通能力- 熟悉 Python 語法與 SQL 語法- 熟悉一種或以上的機器學習套件- 具機器學習/深度學習相關經驗尤佳【公司福利】/- 福利制度：◆ 獎金/禮品類	1.年終獎金	2.三節及生日禮卷	3.勞動節獎品/禮品◆ 保險類	1.勞保	2.健保	3.免費員工團保	4.眷屬團保◆ 休閒類	1.多元化社團活動◆ 制度類	1.季績效獎金	2.完整的教育訓練	3.順暢的升遷管道◆ 設備類	1.員工宿舍(新竹廠)	2.員工上下班交通車(新竹廠，限技術員，桃竹苗區)	3.員工餐廳(供早午晚餐+宵夜，另有用餐補助)        4.7-11便利商店	5.圖書室	6.哺乳室        7.休閒運動中心(健身房、室內撞球、桌球、報章雜誌閱覽區) ◆ 請 / 休假制度	1.週休二日(限常日班)	2.特休/年假	3.彈性假        4.婚/產/陪產/育嬰/家庭照顧假	5.女性同仁生理假◆ 其他	1.員工購物優惠	2.員工室內汽/機車停車位	3.定期健康檢查	4.配發公務機	5.特約商店◆ 補助類	1.結婚禮金	2.生育補助	3.子女教育獎助學金        4.住院/喪葬慰問金	5.員工旅遊補助更多工作資訊請參考：https://www.104.com.tw/job/774tk"
工研院服科中心_文化科技AI工程師(S100),工研院 _財團法人工業技術研究院,"【工作內容】/對科技藝術相關創作計畫進行 ""影像辨識 / 影像生成(GAN)"" 應用程式開發 文化科技領域應用計畫之身體節點動態偵測的應用開發。","軟體設計工程師,其他資訊專業人員,電子工程師",待遇面議,全職,新竹縣竹東鎮,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1人【相關條件】/,"上班族,應屆畢業生",不拘,碩士- 公司產業：其他專業／科學及技術業,"資訊工程相關,數學及電算機科學學科類,資訊管理相關",不拘,不拘,不拘【其他條件】/,"有深度學習、類神經網路開發經驗者，並能靈活運用模型處理解決實務問題。具備實作經驗，了解深度學習數學運算:-Convolution,-Relu,-MaxPooing...等。熟悉學習開發工具-(Tensorflow、Pytorch其一)。、熟悉程式語言-(C/C++、Python-其一)。資工、資科、資管、電機相關領域畢業尤佳 ，擅長程式設計撰寫 特殊加分: 參加AI等相關程式競賽得獎紀錄者優先錄取 能接受人文科技創意多元跨領域工作環境者 歡迎具有跨域專長之工作夥伴加。請提供英文測驗成績(相當於TOEIC 650分之英文測驗成績證明)如無法提供，將安排參加本院英文檢測。【公司福利】/- 福利制度：這是一個為研究菁英打造的研發環境，我們的訴求是讓研究人員能在此構築人生理想及技術成就，讓工作與生活兼顧平衡與樂趣。多年來致力於打造讓每位工研人身體健康、工作愉快，進而使家庭幸福快樂的友善職場。優於法規之多元給假制度針對不同族群，設計多元且優於法令規定之給假方案，以利員工於工作之餘，得以兼顧各式之需要，如：特別休假、安胎及育兒假、志工假等。幸福成家開發專屬未婚員工的交友網站-『男女拉拉對』，同仁可加入網站會員，與其他會員互動，並可參加定期舉辦的未婚聯誼活動，讓單身同仁有更多管道結交朋友，促成良緣。幸福安家關懷女性同仁哺育母乳的需求，特於各院區設置母愛室。為了讓同仁子女得到妥善照顧，設有托嬰中心、幼兒園、及附設安親班。每年舉辦院慶、運動會暨家庭日以及藝文及親子活動，邀同仁與家人共同參與。悠活館設有室內溫水游泳池、水療池、蒸氣室、烤箱、兒童池、健身房、羽球場、網球場、桌撞球桌、韻律教室等，讓員工鍛練體魄、紓發壓力、促進健康。工研餐廳提供全方位餐點服務，聘有專業之營養師，提供色香味俱全的美食外，更針對食的安全與健康予以嚴格的把關與守護。「工研人好健康」促進網絡除了設置醫務室，由醫師排班駐診，給予員工最便利及時的醫療診治，我們更提供不分年齡層每年一次的免費健康檢查、建構全方位照護網－「工研人好健康」，依健康分級給予不同的健康促進方案，達到提昇個人健康善的循環。心理諮詢室 建置溫馨舒適的諮詢環境，由專業心理諮詢顧問提供員工關於身心靈各類問題之免費諮詢與協談。更多工作資訊請參考：https://www.104.com.tw/job/7bwqm"
AI程式設計工程師,方象國際有限公司,"【工作內容】/1. 熟image processing、computer vision2. 熱愛影像研發工作者3. 本科系為佳。無相關學歷，但具備熟練影像程式開發技巧亦可。4. 對影音串流有基本的認識5. 熟程式設計：C#，會 C/C++尤佳。。6. 接觸過 openCV,ffmpeg 尤佳。",軟體設計工程師,"月薪35,000元以上",全職,台北市大同區,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,2~3人【相關條件】/,"上班族,應屆畢業生,夜間就讀中,原住民",不拘,專科、大學、碩士- 公司產業：電腦軟體服務業,不拘,不拘,"C++,Python","軟體程式設計【其他條件】/【公司福利】/- 福利制度：◆ 獎金/禮品類        1.年終獎金        2.三節禮金        3.另設有冰箱,微波爐可供員工使用      ◆ 保險類	1.勞保	2.健保◆ 請 / 休假制度	1.週休二日	2.特休/年假更多工作資訊請參考：https://www.104.com.tw/job/7fllt",無
視覺算法開發工程師,英屬維京群島商視芯智能股份有限公司台灣分公司,"【工作內容】/1.	2D/3D視覺相關及AI 物體識別等相關演算法2.	與ASIC 工程師共同開發算法相關IP","軟體設計工程師,演算法開發工程師",待遇面議,全職,新竹縣竹北市,不需負擔管理責任,無需出差外派,日班，9:00~18:00,週休二日,一個月內,1人【相關條件】/,上班族,1年以上,大學、碩士- 公司產業：IC設計相關業,"電機電子工程相關,資訊工程相關,數理統計相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘【其他條件】/,"1.	熟悉computer vision 算法 (OpenCV/Matlab)2.	具備以下條件者優先錄取    a.	Linux -based work frame    b.	熟悉Firmware design flow【公司福利】/- 福利制度：◎薪資制度：  ＞具有競爭力的薪資水準  ＞年終獎金  ＞員工分紅  ＞年度調薪  ＞推薦獎金  ＞職能獎金  ＞端午／中秋獎金◎員工保險：  ＞勞保  ＞健保  ＞勞工退休金提撥◎其他福利：  ＞優於勞基法休假制度  ＞年度體檢補助  ＞新人到職前免費健康檢查  ＞全天的零食補給  ＞員工停車費用補助  ＞慶生會  ＞誤餐費補助更多工作資訊請參考：https://www.104.com.tw/job/7dlz7"
python工程師,普匯金融科技股份有限公司,【工作內容】/inFlux 普匯金融科技是一家利用科技去輔助並提供金融服務的公司，以普惠金融為志業，希望落實傳統銀行無法提供的金融服務。「金融專業」為核心，「高端科技」為輔具，提供「最有溫度」的社群服務，拉近人與人的距離，讓金融年輕化。目前公司獲得金控集團投資及多家銀行合作，是未來的AI金融科技獨角獸，後端工程師除了能開發最真實的金融服務系統，更有機會走在台灣金融科技的前緣，工作內容為開發 Python 相關子系統，如爬蟲、自動化系統等。希望你加入我們一起成長，用專業的技術一起為台灣金融科技產業貢獻。【工作內容】1.Python 監控與維運系統開發2.Python 相關子系統維運3.採用 Flask 進行開發 RESTful API4.技術文件撰寫5.串接第三方的 API/SDK【需備條件】1.具有 Git 版本控制相關知識2.熟悉 Linux 操作環境及相關指令3.良好溝通能力，團隊配合度高4.Python 與 Flask 開發能力【加分條件】1.熟悉關聯式資料庫設計 (MySQL等)2.使用 MongoDB 進行開發的實務經驗3.微服務 (Microservices) 開發實務經驗4.熟悉相關設計模式 (Design Pattern)5.有串接第三方的 API/SDK 實務經驗6.有金融相關背景知識【福利制度】｜基本款｜*勞保、健保、勞退等基本規範*每人有舒適的工作環境*完善業務獎金制度｜特別款｜*三節都會有禮品*員工的生日慶祝！每月會對壽星舉辦慶生*不只是寫寫程式，讓你工作之餘能涉獵金融科技相關的專業知識*多家銀行與企業的合作，讓你能有外面不會接觸到的學習機會*有點累了？公司提供免費咖啡讓你提神*每月補充的零食櫃，讓你解解肚子餓及嘴饞的煩惱*每個月的小確幸，科技部門聚餐吃飯*每年健康檢查，照顧每位員工的身體狀況*工程師通過試用期即配備 MacBook Pro 及 24 吋大螢幕，讓你擁有好的開發體驗,"軟體設計工程師,Internet程式設計師,軟體專案主管",待遇面議,全職,台北市中山區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~3人【相關條件】/,"上班族,應屆畢業生",1年以上,專科以上- 公司產業：電腦軟體服務業,不拘,不拘,"PHP,Python,MySQL","不拘【其他條件】/【公司福利】/- 福利制度：【基本款】*勞保、健保、勞退、特休等基本規範*每人有舒適的工作環境*完善業務獎金制度【特別款】*三節都會有禮品*員工的生日慶祝！每月會對壽星舉辦慶生*讓你工作之餘涉獵AI金融科技相關專業知識*金融銀行、企業爭相合作公司*讓你擁有最夯最獨家的學習機會*有點累了？公司提供免費咖啡讓你提神*每月補充的零食櫃，讓你解解肚子餓及嘴饞的煩惱*每月的小確幸，部門聚餐吃飯/慶生*每年健康檢查，照顧員工身心*配備公用個人電腦，讓你擁有最好的工具員工認股,年終獎金,三節獎金/禮品,特殊節日獎金禮品,零食櫃,部門聚餐,慶生會,員工貸款更多工作資訊請參考：https://www.104.com.tw/job/7ark5",無
F503-AI工程師(台中),大同世界科技股份有限公司,【工作內容】/▶ JD工作說明1.面對問題能審慎應對，進行資料分析，確實掌握客戶問題痛點，提出合適的解決方案2.瞭解客戶的需求，在指導下能產出系統規格資料3.能運用並結合許多不同的工具，完成符合客戶需求的服務4.能運用不同的程式語言做整合應用，開發軟體5.能針對公司內部多元需求，提供適合的解決方案或建議，並能分享與傳授軟體開發整合性知識 ▶JS具備技能1. 1年以上系統開發經驗 2. 程式設計開發，ASP.NET C# Python3. 熟悉SQL語法需具備網頁開發相關技術，Ajax、Java Script、CSS等 4. 具備Object-relational mapping，LINQ、ADO.NET Entity Framework尤佳 5. 熟悉任一AI框架尤佳（如：Tensorflow、Keras、Caffe等） 6. 具有機器學習、深度學習、影像辨識研究背景尤佳,軟體設計工程師,"月薪36,000~48,000元",全職,台中市南屯區,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1人【相關條件】/,上班族,1年以上,大學、碩士- 公司產業：電腦系統整合服務業,不拘,不拘,"ASP.NET,C#,Python",不拘【其他條件】/,"能夠說話的是你的態度， 讓你風光的是你的能力 不管你是威風凜凜的戰將，還是初生犢不畏虎的少將 加入大世科，讓我們從大型專案中一同創造傳奇與累積實戰經驗 優先面試經濟部工業局DIGI⁺ Talent計畫之結訓研習生(AI)【公司福利】/- 福利制度：在大世科，我們相信組織競爭力源自差異化，差異化源自員工，員工競爭力源自職能，而職能提升來自於學習。藉由豐富學習環境，營造""理論""與""實務""相結合的學習環境，讓員工充份利用公司資源，達到自我學習成長之目的。公司提供良好的培育及職務體系，結合專業職與管理職的雙軌晉升系統，讓員工能在本身的專長、能力及職涯上獲得最大的發展空間，產生高績效獲得高報酬，一起創造公司的高績效與競爭力。【獎金福利】 *固定薪資12個月(MBS含底薪、職務加給、伙食津貼) *年終獎金、(每月/每季)績效獎金，盈餘分紅等，視各單位與個人績效表現發放*三節、生日禮金(禮品)*勞工保險、全民健康保險、新制勞工退休金*關鍵證照獎金*推薦新進同仁獎金*續勤獎金【健康措施】 *免費健身房供下班時間使用*有專業護理師與健康中心，提供即時健康諮詢與協助*專業醫師定期到公司駐診*備有哺乳室、血壓機、體重體脂計、AED*年度員工健康檢查 *健康促進講座*員工團體保險(壽險、傷害醫療險、癌症險)【幸福職場】 *彈性上、下班時間制度 *免費機車停車場供同仁申請 *免費咖啡與零食*員工國內外旅遊活動 *員工眷屬家庭日*各類社團活動 *員工餐廳*員工平價福利社【補助福利】 *結婚、生育、托兒、子女教育、員工及眷屬喪葬補助*教育訓練、在職進修補助 *大同大學推廣教育中心自修課程補助*每周兩次特約舒壓按摩*集團產品優惠價 *員工持股委員會購股補助*大同集團各類特約商店享員工優惠折扣 *員工旅遊補助 *社團經費補助 *讀書會經費補助(公司保留優化上述福利之權利，實際福利將依任用類型與辦公地點些微調整。)**專案約聘同仁因不需繳交福利金，因此適用部分福利**社團活動,家庭日,員工停車位,特約商店,結婚禮金,生育津貼,員工進修補助,子女教育獎助學金,三節獎金/禮品,專業證照獎金,零食櫃,咖啡吧,健身器材,員工舒壓按摩更多工作資訊請參考：https://www.104.com.tw/job/6g7f8"
前端工程師 Frontend Engineer,聚典資訊股份有限公司,【工作內容】/前端工程師 Frontend Engineer  【注意事項】：請至 https://www.104.com.tw/company/1a2x6bl0ew 投遞履歷，我們會以這邊收到的履歷為主。【工作內容】作為 Ret[AI]ling Data的工程師，你將投入 Ret[AI]ling Data 的核心產品開發，與其他工程、設計團隊、產品經理等夥伴們密切討論、規劃，共同打造最棒的零售AI數據系統。除核心產品之外，前端工程師會支援不同的專案，配合市場方向、產品策略、使用者回饋，與行銷和內容團隊密切合作，共同為團隊最大化 Ret[AI]ling Data的產品價值。【工作目標】☆  基於Front end Framework之上，與團隊共同設計、開發、維護系統功能☆  共同參與產品方向討論，一起打造最棒的產品☆  持續對規劃、討論、開發、驗證的協作流程提出建議☆  建立並串聯數據與服務API☆  解決各種瀏覽器/尺寸相容問題☆  協助編寫和技術開發相關文件【必要條件】☆  具備開發經驗。☆  HTML/CSS/JavaScript (框架: React/Vue)。☆  熟悉RWD☆  API 設計及實作☆  具備積極的心態，能快速適應各種變動，並勇於面對各種未知的挑戰。☆  具備解決問題的能力，創造性思考並超越標準化模板的能力。,"軟體設計工程師,Internet程式設計師,網頁設計師",待遇面議,全職,台北市南港區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~3人【相關條件】/,"上班族,應屆畢業生",不拘,大學、碩士- 公司產業：電腦軟體服務業,不拘,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"HTML,JavaScript,CSS","軟體程式設計,網路程式設計,使用者介面設計,網頁語法撰寫【其他條件】/【公司福利】/- 福利制度：※【福利制度】◆勞保，健保，勞退基本保障勞保，健保，勞退三合㇐◆薪資及獎金依照公司營運狀況與個人績效獲取額外薪資紅利◆活力補給輕鬆小點心，時食都開心◆全人式補助進修補助/差旅補助/專業證照/部門聚餐/入伍禮金／結婚禮金◆南軟2期園區內福利設施醫務室(H棟2樓)/運動中心(H棟1樓外圍玻璃屋)/桌球室(F棟1樓休閒區) 員工紅利,員工配股,員工認股,入股分紅,年終獎金,三節獎金/禮品,特殊節日獎金禮品,專業證照獎金,零食櫃,咖啡吧,健身器材,醫務室,結婚禮金,員工進修補助,員工教育獎助學金,部門聚餐,慶生會,家庭日,員工優惠,內部講師鐘點費,下午茶,健身房,電影觀賞,優於勞基法特休更多工作資訊請參考：https://www.104.com.tw/job/74ph9",無
電腦視覺/影像處理/AI人工智慧演算法工程師 Computer Vision/Image Process Algorithm Developer,智見科技股份有限公司,"【工作內容】/智見科技股份有限公司 (http://nuphoto.com.tw) 目前為全台最大的照片沖洗APP公司，主要提供方便製作 [照片個人化商品] 之平台服務，於2012年底成立, 目前正在開發全球性的影像軟體服務, 歡迎對 APP 開發 有熱忱的您加入。 公司創辦人之前為廣達/聯發科 10幾年影像開發經驗技術經理, 對影像技術/電腦視覺/市場開發行銷有優良的經驗和成果, 期待對APP和Web開發有興趣的人才加入,為自己和台灣軟體產品衝出一片新天地. 工作內容 - 開發AI 去背景/人臉偵測/人臉特徵點偵測演算法- 開發AI人臉相關的修圖/變形/優化演算法   - 開發AI照片品質提升演算法   - 導入實際手機APP程式- APP和Server的溝通協定 工作條件 - 資訊電腦相關科系 有做過相關電腦視覺研究- 符合下列工作準則 - 對新創 APP 軟體開發設計 有熱情 - 做事負責，細心，能與團隊溝通合作 - 如有以前的軟體作品 可以先附上. 如App 網站 程式 GitHub 面試機會更高 **技術人員準則： 好的軟體工程師在計畫的時間，開發出穩定的軟體，並降低未來維護的成本。 兼具Time-To-Market 和穩定性。 好的軟體工程師答應的Schedule，沒有合理的理由，決不延遲，有問題會提早提出討 論，像是Spec或是介面定義不清，在開發時，就可以儘早提出討論。 好的軟體工程師在Google上找到的英文解答/小程序/文件，可以迅速正確地理解，並正確用到專案中。對於不懂的語法/元件/框架可以嚴格地驗證，而不誤用。 好的軟體工程師遞交成果時，已經有自行測試過，遞交品質優良的軟體。 好的軟體工程師主動分享新的技術，用以推出更好的產品/介面/體驗。 **員工共同準則 好的員工注重團隊合作，盡力完成他人交辦的事務，以提升團隊效能。 好的員工注重溝通，多談話勝過文字交談，避免溝通有誤。 好的員工自我要求工作表現和效率，努力讓自己持續進步。 好的員工不僅是要做完工作，也要做好工作。 好的員工有Job Owner的概念，Owner如果是自己，就會全盤確認進度和問題，以做 好工作。 好的員工注重Schedule，並會訂好遞交時間，避免延誤團隊的工作時程。 好的員工會主動和上司討論好接下來一個月的工作內容，避免空窗。 好的員工因應公司商業模式或是營業項目的改變，會調整自己的心態和學習新的技 能。 我們是網路軟體公司，只是剛好做到客製化商品電商這個項目，未來還有可能變化。 工作時間&amp;地點 - 新竹市 關新公園附近 - 星期一~星期五 早上9:00~下午6:00 公司福利 - 可和一流人才相互交流 - 具競爭力的薪資 - 滿一年, 保障2個月年終獎金 應徵方式 - 請先寄 履歷自傳 &amp; 相關工作經驗 至 bruce@nuphoto.com.tw - 適任者會以電話通知面試  ","軟體設計工程師,Internet程式設計師,網路管理工程師","月薪40,000~100,000元",全職,新竹市,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1~2人【相關條件】/,"上班族,應屆畢業生",不拘,大學以上- 公司產業：多媒體相關業,不拘,不拘,不拘,軟體工程系統開發【其他條件】/,"電腦視覺/影像處理演算法開發工程師/ Computer Vision/Image Processing Algorithm Developer【公司福利】/- 福利制度：1.保障1個月年終獎金2.週休二日，且彈性工時3.可免費製作公司產品(例如沖洗照片, 製作相本書, 無框畫, 上限一年5千)4.依績效給予分紅獎金5.全面使用Mac電腦，並提供雙螢幕，增進工作效率安全舒適的工作環境◎保全人員駐守，強化門禁管理。◎開放式辦公空間，讓彼此溝通零距離。◎辦公室全面禁菸，辦公大樓14樓，空間舒適，採光空氣流通佳，工作更有效率。完善的教育訓練◎提供完整的新進同仁導師制度，溝通學習有專人帶領。◎充分內部技術分享和討論，除了自己的工作還可以了解相關同仁技術。更多工作資訊請參考：https://www.104.com.tw/job/6zxn4"
ASP.NET助理工程師 / ASP.NET工程師,風行天股份有限公司,【工作內容】/風行天是FINTECH與AI的領導公司，是一個年輕有活力的團隊，在業界享譽卓著。我們歡迎有熱情有能力的ASP.NET工程師加入我們。我們開發、設計平台與產品，提供企業在業務外勤上的管理工具提升效率，也提供獨特的匯兌風險管理平台，協助企業管理風險。所以您在這裡除了可以貢獻所學，還能借由互相學習提昇自我。具積極進取跟願意接受挑戰就是我們需要的人才！工作內容：1. 開發環境 : ASP .Net Core 22. 前端開發 : Angular6、Inoic3. 前後端介接 : GraphQL、WebAPI4. 資料庫 : Entity Framework、MS-SQL5. 與行動裝置應用技術結合,"軟體設計工程師,Internet程式設計師,網頁設計師","月薪30,000~70,000元",全職,台北市中山區,不需負擔管理責任,無需出差外派,日班，上班時間09:00~18:30 (午休12:00~13:30),週休二日,不限,不限【相關條件】/,"上班族,應屆畢業生",2年以上,大學以上- 公司產業：其它軟體及網路相關業,"資訊管理相關,資訊工程相關",不拘,不拘,不拘【其他條件】/,加分條件 :1. 具備工作熱誠與良好的研究精神2. 具備一年(含)以上程式開發維護工作經驗3. 具備 SPA 架構開發經驗4. 熟悉MSSQL資料庫工具操作5. 了解WebService及WebAPI概念6. 了解RESTful軟體架構觀念7. 具備 CSS 微調能力8. 具財務系統建置、維護經驗【公司福利】/- 福利制度：我們贊成員工「work hard and play hard」，也認同愉快的上班場所需要每一位員工一起來創造。因此風行天提供以下福利，希望能營造一個「work and life balance」的快樂工作環境：【法定義務】 ● 勞保 ● 健保 ● 6%勞退【獎金】 ● 年終獎金(依公司營運狀況及個人績效核發) ● 業務、PM及工程團隊績效獎金；業務另享季獎金及年獎金(皆按公司獲利程度與職務類別、個人績效核發)【休閒】 ● 每季一次的慶生下午茶會 ● 每年一次的尾牙 ● 不定期的主管outing、公司聚餐及下午茶 ● 專屬零食區【完善制度】 ● 良好的教育訓練 ● 透明的升遷管道 ● 順暢的團隊溝通 ● 人性化的經營理念【請 / 休假福利】 ● 週休二日 ● 優於勞基法：正職人員第一年即享有7天按比例特休假、1天生日假、2天健身購物假、以及不定期的2小時Early Home。更多工作資訊請參考：https://www.104.com.tw/job/5j904
